page,person_or_pin,claim,citation_on_page,provenance,how_i_know,flag
"index.html","alphonseSr","Louisiana death record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 20 July 1884 — Vol. 85, p. 616","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","alphonseSr","OCCUPATION FIELD: Farmer, later farm overseer — 4th ward, Jefferson Parish","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","josephGervais","HIS PLACE, FOUND — the east bank of the river, next door to Golden Grove","P. A. Champomier, Statement of the Sugar Crop Made in Louisiana in 1845-6, p. 10 (Internet Archive, ldpd_6413611_000); the 1844 statement; Lillian Bourgeois, Cabanocey; Cohen's New Orleans Directory, 1855, planters' section","G published work, inherited","named book/journal; I did NOT open it","FLAG"
"index.html","josephGervais","Baptism — St. James Parish","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Diocese of Baton Rouge, Vol. 2 (1770–1803), SJA-3, 157","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","josephGervais","Marriage — St. Michael, Convent","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Diocese of Baton Rouge, Vol. 4 (1820–1829), SMI-2, 77","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","josephGervais","Militia roll — War of 1812","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana Soldiers in the War of 1812 (compiled state militia rosters)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","josephGervais","Burial — St. Michael, Convent","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Diocese of Baton Rouge, Vol. 8 (1853–1857), SMI-4, 236","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","josephGervais","OCCUPATION FIELD: Sugar planter, St. James Parish, east bank — 115 hogsheads in 1845. His War of 1812 service is UNVERIFIED; see the record below.","(this field carries no citation)","Y already flagged on page","asserted without its own citation","FLAG"
"index.html","francoisGaiennie","⚠️ THE WAR OF 1812 CLAIM IS WITHDRAWN — there are two François Gaiennies and this page had the wrong one","Louisiana Historical Association, Dictionary of Louisiana Biography, entry ""GAINNIE, François""; Arsène Lacarrière Latour, Historical Memoir of the War in West Florida and Louisiana in 1814-15 (1816), pp. 125 and 141","D fetched online source","named index/site reached this session",""
"index.html","francoisGaiennie","THE STREET — Gaiennie Street, New Orleans","John Kendall, History of New Orleans (Lewis Publishing Co., Chicago & New York, 1922), Chapter XLII ""Streets, Parks, Squares,"" p. 675","G published work, inherited","named book/journal; I did NOT open it","FLAG"
"index.html","francoisGaiennie","Marriage — St. James Parish","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Diocese of Baton Rouge, Vol. 2 (1770–1803), SJA-2, 19","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","francoisGaiennie","Militia roll — War of 1812","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana Soldiers in the War of 1812 (compiled state militia rosters)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","francoisGaiennie","OCCUPATION FIELD: ⚠️ WAR OF 1812 SERVICE — WITHDRAWN PENDING PROOF. See the record below: the 4th Regiment man was very likely his nephew, not him.","(this field carries no citation)","Y already flagged on page","asserted without its own citation","FLAG"
"index.html","julienGagnier","Named in his son Urbain's marriage record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] St. Louis Cathedral, 19 March 1789 — SLC, M5, 62 (SRANO Vol. 4)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","julienGagnier","Named in his grandson Gervais's baptism","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] St. James Parish, 6 September 1797 — SJA-3, 157 (Diocese of Baton Rouge Vol. 2)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","nicolasSardet","Marriage — St. Louis church, New Orleans","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] 20 January 1767 — SLC, M2, 25 (SRANO Vol. 2)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","nicolasSardet","Daughter Eulalie's baptism, naming his trade","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] 16 January 1774 — SLC, B7, 35 (SRANO Vol. 3)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","nicolasSardet","OCCUPATION FIELD: Master cooper","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","margueriteReyne","Baptism — St. Louis church, New Orleans","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] 6 November 1752 — SLC, B2, 269 (SRANO Vol. 2)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","margueriteReyne","Remarriage, naming her parents — read in the register itself","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] St. Louis Cathedral, New Orleans — Marriages 1784–1806, entry 2 of May 1784 (SLC, M5, 27; SRANO Vol. 4). Digitized register published free by the Archdiocese of New Orleans, Office of Archives and Records.","A document image in this repo","assets/img/reyne-1784-marriage.jpg",""
"index.html","etienneReyne","The earliest trace of him — a godmother's line, 16 March 1750","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] St. Louis church, New Orleans — baptism of Marie Françoise Castel, 16 March 1750 (SLC, B2, 180); SRANO Vol. 1 (1718–1750)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","etienneReyne","His trade found him his friends — Jean Callier, master mason","St. Louis church, New Orleans — marriage of Joseph Callier, 17 August 1762 (SLC, B4, 71); baptism of Marie Jeanne Reyne, 26 October 1755 (SLC, B3, 48); marriage contract of 25 April 1740 (French Superior Council). SRANO Vols. 1–2.","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","etienneReyne","His children's baptisms — St. Louis church","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] SLC registers B2–B5, 1752–1766 (SRANO Vol. 2)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","etienneReyne","OCCUPATION FIELD: Master mason","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","jeanReynaud","Named — with his wife — at his daughter's marriage contract","French Superior Council, New Orleans — Marriage contract, 25 April 1740, Document C 40 (2845), fo. 14 (doc. 1740-04-25-03); Louisiana Historical Quarterly Vol. 10 no. 2, April 1927, p. 278","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","heleneDorigny","Named at her daughter's marriage contract","French Superior Council, New Orleans — Marriage contract, 25 April 1740 (doc. 1740-04-25-03); Louisiana Historical Quarterly Vol. 10 no. 2, April 1927, p. 278","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","francoiseRenard","The first time she appears — as a godmother, 16 March 1750","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] St. Louis church, New Orleans — baptism of Marie Françoise Castel (SLC, B2, 180); SRANO Vol. 1","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","francoiseRenard","HER PARENTS, AT LAST — the 1740 marriage contract","French Superior Council, New Orleans — Marriage contract, 25 April 1740, three pages, Document C 40 (2845), fo. 14 (doc. 1740-04-25-03); Louisiana Historical Quarterly Vol. 10 no. 2, April 1927, p. 278","A document image in this repo","assets/img/renard-1740-filiation.jpg",""
"index.html","francoiseRenard","Her first husband — Pierre Cousin, and the man who raised her","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] St. Louis church, New Orleans — baptism of Jean François Cousin, 7 September 1745 (SLC, B2, 49); SRANO Vol. 1. WPA abstract of the 1740 contract, Document C 40 (2845).","A document image in this repo","assets/img/cousin-1740-wpa-card.jpg",""
"index.html","francoiseRenard","The Connards — and how she paid it back","St. Louis church, New Orleans — baptism of Françoise Connard, 30 July 1751 (SLC, B2, 227); SRANO Vol. 2. Connard family entries, SRANO Vols. 1–2; 46 documents under CONNARD in the French Superior Council records, 1735–1791.","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","francoiseRenard","What the Connard household actually looked like","French Superior Council — Petition to sell real estate, 29 January 1735 (#A-35/3; LHQ Vol. 5 no. 2, April 1922, p. 260) · Acknowledgment of debt and mortgage, February 1739 (Document #2541; LHQ Vol. 6 no. 2, April 1923, p. 300) · 46 documents under CONNARD, 1735–1791","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","francoiseRenard","THE COURT NAMES HER OUTRIGHT — twice widowed by 1748","French Superior Council, New Orleans — 3 August 1748, petition (Louisiana Historical Quarterly Vol. 20 no. 1, p. 215); Louisiana Historical Center, doc. 1748-08-03-03","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","francoiseRenard","Her second husband — the marriage contract, 6 September 1747","French Superior Council, New Orleans — Marriage Contract, 6 September 1747, seven pages (doc. 1747-09-06-01; WPA abstract card #30580); published in the Louisiana Historical Quarterly Vol. 18 no. 3, July 1935, p. 721. With the Joly will of 11 March 1748 (doc. 1748-03-11-02).","A document image in this repo","assets/img/renard-1747-marriage-contract.jpg",""
"index.html","elisabethSarde","Baptism — St. Louis church, New Orleans","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] 16 January 1774 — SLC, B7, 35 (SRANO Vol. 3)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","elisabethSarde","Marriage — St. James Parish","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] 10 February 1793 — SJA-2, 19 (Diocese of Baton Rouge Vol. 2)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnBrunetti","HE OWNED THE CORNER — a paid tax bill, Mazant and Derbigny","City of New Orleans, 1934 Real Estate Tax, bill no. 48051, assessment 16-A-11260, district 9-W square 724 — receipted November 1934 by the Deputy Comptroller, Department of Public Finances, Treasury Division. Family papers, photographed by Aaron Pedeaux, August 2026.","A document image in this repo","assets/img/brunetti-1934-tax-bill.jpg",""
"index.html","johnBrunetti","THE TOMB — six people, one plot, and the whole descent in it","Archdiocese of New Orleans, New Orleans Catholic Cemeteries burial register — St. Louis Cemetery No. 3, plot L3 SQ 5E / G ST. LOUIS AVENUE / 9. Searched 12 August 2026 (nolacatholiccem.discovereverafter.com, profiles 36915128–36915133).","D fetched online source","named index/site reached this session",""
"index.html","johnBrunetti","Marriage — the record that names his parents","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana Parish Marriages, Orleans, June 1921 (licence Vol. 46, p. 90; two entries, 15 and 18 June)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnBrunetti","Veterans Administration Master Index, 1917–1940","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] U.S. Veterans Administration master index card","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnBrunetti","WWI draft registration — Chicago","Cook County, Illinois, 1917–18 (NARA RG 163)","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","johnBrunetti","Illinois federal naturalization index","US District Court, Northern District of Illinois — NARA Chicago, RG 21","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","johnBrunetti","1930 U.S. Census, Orleans Parish","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Household of John Brunette","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnBrunetti","HIS BIRTH ACT — found in the Plataci register, 11 August 2026","Comune di Plataci, Ufficio dello Stato Civile — Atti di Nascita 1893, ATTO N. 36. Tribunale di Castrovillari copy; FamilySearch collection 2043557, film ""Plataci Nati 1874-1910"", image 421 of 2,614.","A document image in this repo","assets/img/brunetti-1893-birth-act.jpg",""
"index.html","johnBrunetti","The name his village would have used","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Arbëresh naming custom, from the research binder kept by his granddaughter Patricia Pedeaux Ruda, printed December 2010","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnBrunetti","What Plataci was, and still is","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Arbëresh background material in the same binder; corroborated by the parish acts quoted in Alicia Bodily's Plataci genealogy","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","michelBrunetti","OCCUPATION FIELD: Recorded as ""civile"" — a man of independent means, not a labourer. By 1893 an assessore of Plataci, and in later years the ordinary assessor","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","veronicaFranovich","Her burial — the first of the six","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Archdiocese of New Orleans, Catholic Cemeteries burial register — St. Louis No. 3, plot L3 SQ 5E / G ST. LOUIS AVENUE / 9, profile 36915131. Searched 12 August 2026.","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","veronicaFranovich","In her father's household, aged eight","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] United States Census, 1910 — Nairn, Plaquemines Parish, Louisiana","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","nicolaFranovich","Named as father on two of his sons' death records","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana, Deaths, 1850–1875, 1894–1960 — Anthony Franovich, 19 July 1911, Buras; and Nicole Franovich, 5 May 1955, Buras","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","nicolaFranovich","His household in the 1880 census","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] United States Census, 1880 — Plaquemines Parish, Louisiana","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","josephineBuras","Named as mother on two sons' death records","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana, Deaths, 1850–1875, 1894–1960 — Anthony Franovich (1911) and Nicole Franovich (1955), both of Buras","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","josephineBuras","Her own parents and a brother","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] United States Census, 1900 — Wards 5 and 10, Plaquemines Parish","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","anthonyFranovich","HIS DEATH RECORD — the one that settled where he was born","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana, Deaths, 1850–1875, 1894–1960 — Anthony Franovich, 19 July 1911, Buras, Plaquemines Parish","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","anthonyFranovich","His own household, 1910 — the record that places Veronica","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] United States Census, 1910 — Nairn, Plaquemines Parish, Louisiana","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","anthonyFranovich","In his father's house, aged seven","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] United States Census, 1880 — Plaquemines Parish","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","melanieMoizant","Louisiana death index","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 18 October 1957 — Vol. 0, p. 7108","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","melanieMoizant","Louisiana marriage index — the same record, indexed twice","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, April 1926 — Vol. 50, p. 376","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","alfredMoizant","THE PLOT, CORRECTED — and Victoria is in it","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Archdiocese of New Orleans, Catholic Cemeteries burial register — St. Louis Cemetery No. 3, plot L3 SQ 03 / O ALLEY DE LA VIERGE / 11; profiles 36892936 and 36892935. Searched 12 August 2026.","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","alfredMoizant","HIS PARENTS, AND BORDEAUX","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana, Orleans, Death Records and Certificates, 1835–1954 — Alfred L. Moizant, 23 February 1933; with his obituary, New Orleans, 23 February 1933 (GenealogyBank), and his voter registration of 9 December 1931","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","alfredMoizant","Naturalized at sixty-two","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana Naturalization Records, 1812–1932 — Alfred Moizant, 2 March 1900","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","alfredMoizant","A life that moved upriver","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] United States Censuses of 1900, 1910 and 1930; Orleans and St. Tammany Voter Registration Records, 1867–1949","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","alfredMoizantPere","Named at his son's death","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana, Orleans, Death Records and Certificates, 1835–1954 — Alfred L. Moizant, 23 February 1933","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","clemenceChapeau","Named at her son's death","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana, Orleans, Death Records and Certificates, 1835–1954 — Alfred L. Moizant, 23 February 1933","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","clemenceChapeau","And in a granddaughter's name","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] United States Census, 1900 — Wards 5 and 10, Plaquemines Parish","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","victoriaDaroca","Her burial","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Archdiocese of New Orleans, Catholic Cemeteries burial register — profile 36892935. Searched 12 August 2026.","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnLarmannSr","HIS LOCAL WAS ALSO HIS DAUGHTER'S FUTURE IN-LAWS' LOCAL","His trade and local from his 2018 obituary and family record; Numa Louis Pedeaux Jr.'s from his own obituary, Find a Grave memorial 137366059","D fetched online source","named index/site reached this session",""
